,Bar Name,Address,Phone Number,Description,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
153,Pocketsquare Skyline Bar & Terrace,"Hyatt Place London City East, 9th Floor, 45 Whitechapel Road, London, E1 1DU",+44 (0) 20 8159 1234,"Just a short walk from Shoreditch, Brick Lane and Spitalfields, this striking rooftop bar offers exciting cocktails with a gorgeous view over the skyline and artistic decor throughout.",5PM - 12AM,5PM - 12AM,5PM - 12AM,3PM - 12AM,3PM - 12AM,3PM - 12AM,3PM - 12AM
154,Silverleaf,"Pan Pacific London Hotel , 3rd Floor Devonshire House, 3 Bishopsgate Plaza, London, EC2M 4JX",+44 (0) 20 7118 6888,"A stunning, modern hotel bar with Tom Dixon interiors throughout. Home to a hidden bar for intimate tasting experiences, minimalist cocktails and a fine and rare bottle collection that always catches the eye.",5PM - 12AM,5PM - 2AM,5PM - 2AM,5PM - 2AM,5PM - 2AM,5PM - 2AM,5PM - 12AM
155,The Soak,"Terminus Place, London, SW1W 0RP",+44 (0) 20 7868 6272,"Large welcoming bar right in a listed building next to Victoria Station - with quality cocktails, inviting velvet sofas and booths, top notch entertainment and dim sum by Ping Pong.",10:30AM - 11PM,10:30AM - 11PM,10:30AM - 11PM,10:30AM - 11PM,10:30AM - 11PM,11AM - 11PM,11AM - 11PM
156,Silk Weaver,"Town Hall Hotel, Patriot Square, London, E2 9NF",+44 (0) 20 7871 0460,"Town Hall Hotel's hidden gem! A cosy yet elegant lounge bar, filled with soft furnishings, low lighting and friendly faces - ideal for a relaxed post-work cocktail or pre-dinner aperitif.",Closed,Closed,5PM - 10PM,5PM - 12AM,5PM - 12AM,5PM - 12AM,5PM - 10PM
157,Spey Bar,"82-84 St Martins Lane, (First floor of Browns Restaurant), Judges Court, London, WC2N 4AG",+44 (0) 20 7497 5050,"Scottish tranquility and highland hospitality brought to the heart of London at this timeless cocktail bar, based on the renowned Craigellachie Hotel in Speyside. A whisky experience you'll want to visit again and again.",5PM - 11PM,5PM - 11PM,5PM - 11PM,5PM - 1AM,5PM - 1AM,12PM - 1AM,12PM - 10:30PM
158,Savage Garden London,"Doubletree By Hilton Hotel London, 7 Pepys Street, London, EC3N 4AF",+44 (0) 20 7709 1044,"A complete escape from the corporate world of the City below, Savage Garden stands out even from 12 storeys high, with striking decor, views from every seat in the house and drinks that are made with showmanship!",3PM - 12AM,3PM - 12AM,3PM - 12AM,3PM - 12AM,3PM - 1AM,12PM - 1AM,12PM - 12AM
159,NoMad Hotel: NoMad Bar & Side Hustle,"28 Bow Street, London, WC2E 7AW",+44 (0) 20 3906 1600,"A casual agave-focussed bar in a former police station, a stunning restaurant & bar set inside a glass conservatory and an elegant subterranean cocktail lounge. All waiting to be explored in this incredible hotel.",5PM - 12AM,5PM - 12AM,5PM - 12AM,5PM - 12AM,5PM - 1AM,11AM - 1AM,11AM - 11PM
160,Thirst Bar Soho,"53 Greek Street, London, W1D 3DR",+44 (0) 20 7437 1977,"A buzzing venue in the heart of Soho, where easy-going locals, tourists, and our friends from the industry go for crafted cocktails, a lively atmosphere, generous opening hours and great DJs to satisfy your party needs.",4PM - 3AM,4PM - 3AM,4PM - 3AM,4PM - 3AM,4PM - 3AM,4PM - 3AM,Closed
161,Swift Borough,"66 Borough High Street, London, SE1 1XF",St Martin's Martini - £8,"Within walking distance of Borough Market, the latest addition to the Swift bar family brings their legendary drinks and service south of the river. The brighter, lighter bar upstairs is ideal for daytime revelry, with a tiny hidden speakeasy below - just waiting to be discovered.",Closed,3PM - 11:30PM,3PM - 11:30PM,3PM - 12AM,3PM - 12AM,3PM - 12AM,Closed
162,The Lalee at the Belmond Hotel,"75 Sloane Street, London, SW1X 9SG",+44 (0) 20 8089 7002,"Stylish café and bar inspired by the hotel's most legendary past resident, Chelsea socialite Lillie Langtry - and the perfect spot for oysters and an early evening aperitif!",12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM
163,Doña,"92 Stoke Newington High Street , (The Red Sequin Door), London, N16 7NY",Margaret - £8,An independent local cocktail bar dubbed the Pink Palace - with live music and a mighty selection of Mezcals to work your way through.,Closed,6PM - 11PM,6PM - 12PM,6PM - 1AM,6PM - 1:30AM,6PM - 1:30AM,Closed
164,STEREO,"35 The Piazza , London , WC2E 8BE ",+44 (0) 20 3146 9637,"Hidden away under Covent Garden Market, STEREO is the latest foray from the marvellous Experimental Group team. With live music five nights of the week, this is an absolutely gorgeous venue with cocktails on tap and delish food.",Closed,5:30PM - 12AM,5:30PM - 3AM,5:30PM - 3AM,5:30PM - 3AM,5:30PM - 3AM,Closed
165,Nobu Bar,"Nobu, , 22 Portman Square, London, W1H 7BG",+44 (0) 20 3988 5888,"A seriously sexy space based on an authentic Izakaya experience - with impressive flavour pairings, delicious Japanese bar snacks and some of the best service in the city!",4PM - 12AM,4PM - 12AM,4PM - 12AM,4PM - 1AM,4PM - 1AM,4PM - 1AM,4PM - 12AM
166,Lucy Wong,"33-34 Rathbone Place, London, W1T 1JN",+44 (0) 20 7255 1120,"A late night, 1950's Hong Kong style setting for inventive cocktails using Asian spirits and Cantonese style small plates. With custom paintings and tapestries, velour armchairs, cosy chaise lounges and a hidden outdoor courtyard.",5PM - 12AM,5PM - 12AM,5PM - 1AM,5PM - 2AM,5PM - 3AM,5PM - 3AM,Closed
167,The Cottons Club,"45-47 Hoxton Square, London, N1 6PD",+44 (0) 20 8037 9555,"On the corner of Hoxton Square discover this colourful, tropical-themed nightclub and cocktail bar for a seriously fun time underneath Cottons Shoreditch.",12PM - 10PM,12PM - 10PM,12PM - 10PM,12PM - 10PM,12PM - 12AM,12PM - 12AM,12PM - 11PM
168,Manzi's,"1-8 Bateman’s Buildings, London , W1D 3EN",+44 (0) 20 3540 4546,"Set across two floors of the Bateman’s Buildings, this lavish restaurant bar fondly tips its hat to the original Manzi's - a Leicester Square institution beloved by Londoners for more than half a century.",11:30AM - 11PM,11:30AM - 11PM,11:30AM - 11PM,11:30AM - 11PM,11:30AM - 11PM,11:30AM - 11PM,11:30AM - 4PM
169,Two Spoons,"72 Honor Oak Park, LONDON, SE23 1DY",+44 (0) 20 8699 8998,"A warm welcome, delightful drinks and a smooth jazz playlist await at this simple, paired back Peckham favourite. Run by two friends, this café by day and bar by night is as good for brunch as it is an after-work cocktail.",9AM - 4PM,Closed,9AM - 11PM,9AM - 11PM,9AM - 11PM,9AM - 11PM,9AM - 4PM
170,Mr Fogg's Apothecary,"34 Brook Street, London, W1K 5DH",+44 (0) 75 9278 7159,"A Victorian apothecary themed bar found opposite Claridge's - home to Mr Fogg's tonics, remedies and libations from his extensive travels around the world.",Closed,4PM - 12AM,4PM - 12AM,4PM - 1:30AM,3PM - 1:30AM,1PM - 1:30AM,Closed
171,St Pancras Renaissance Hotel: Gothic Bar & Booking Office 1869,"St. Pancras Renaissance Hotel, Euston Road, London, NW1 2AR",+44 (0) 20 7341 3000,"Two terribly grand and elegant bars found within this iconic red brick hotel, attached to Kings Cross Station.",5PM - 11PM,5PM - 12AM,12PM - 1AM,12PM - 1AM,12PM - 1AM,12PM - 1AM,12PM - 8PM
172,Bottle and Rye,"404-406 Coldharbour Lane, London, SW9 8LD",+44 (0) 79 4749 2124,"Excellent little French-inspired wine and cocktail bar in the heart of Brixton Village, which takes advantage of the amazing produce available from the market stalls around them.",Closed,5PM - 10:30PM,5PM - 10:30PM,5PM - 10:30PM,2PM - 11:30PM,12PM - 11:30PM,Closed
173,Joe's Bar,"Joe Allen, 2 Burleigh Street, London, WC2E 7PX",+44 (0) 20 7836 0651,"A stone's throw from London's best theatres, Joe's Bar is reminiscent of the neighbourhood joints of downtown New York. Offering friendly service and a relaxed atmosphere, it's perfect for a pre-show bite with a classic cocktail.",4PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11:30PM,12PM - 11:30PM,12PM - 11:30PM,12PM - 7PM
174,Nipperkin Bar at 20 Berkeley,"20 Berkeley Street, London , W1J 8EE",+44 (0) 20 3327 3691,"Hidden away within 20 Berkeley is this seriously cosy bar featuring a centralised table, where the focus is on ingredients and spirits that are predominantly sourced, distilled, or harvested in the UK.",12PM - 11:20PM,12PM - 11:30PM,12PM - 11:30PM,12PM - 11:30PM,12PM - 12AM,12PM - 12AM,Closed
175,8 at The Londoner,"38 Leicester Square, London, WC2H 7DX",+44 (0) 20 7451 0156,"Chic minimalist rooftop bar set across three spaces, where you'll discover modern Japanese snacks, a fine spirits collection and exceptional service.",Closed,5PM - 12AM,5PM - 12AM,5PM - 1AM,5PM - 1AM,1PM - 1AM,Closed
176,The Moonlight Bar at The Capital,"22 -24 Basil Street, LONDON, SW3 1AT ",+44 (0) 20 7591 1200,"An intimate, sophisticated yet comfy bar, with nods to the moon throughout. Found tucked away in one of London's first boutique hotels.",12PM - 8PM,12PM - 8PM,12PM - 8PM,12PM - 8PM,12PM - 8PM,12PM - 8PM,12PM - 5PM
177,"Chet's at the Hoxton, Shepherd's Bush","65 Shepherds Bush Green, London, W12 8QE",+44 (0) 74 7925 8229,"All the comforts of a diner, but with the fragrant flavours of Thailand found throughout the food and drinks menus - accompanied by the usual impeccable Hoxton service we know and love.",7AM - 12AM,7AM - 12AM,7AM - 12AM,7AM - 12AM,7AM - 1AM,7AM - 1AM,7AM - 12AM
178,Fazenda Rodizio Bar & Grill,"100 Bishopsgate, (Camomile Street entrance), London, EC2M 1GT",+44 (0) 20 3370 7202,"Italian leather, walnut clad walls and warm lighting welcome you into this impressive restaurant bar, where gorgeous glassware showcase inventive South American-inspired cocktails - plus the food is delightful!",11:30AM - 12AM,11:30AM - 12AM,11:30AM - 12AM,11:30AM - 12AM,11:30AM - 12AM,12PM - 12AM,11:30AM - 11PM
179,Naked & Famous,"100 Portobello Road, London, W11 2QD",+44 (0) 20 4599 1177,"An intimate and stylish cocktail bar reminiscent of a 70's lounge, found hidden in the basement of Zēphyr restaurant on Portobello Road. With a small number of seats, soft lighting and a focus on agave spirits.",Closed,6PM - 12AM,6PM - 12AM,6PM - 12AM,6PM - 1AM,6PM - 1AM,Closed
180,Swans Bar at Maison Assouline,"196a Piccadilly, London, W1J 9EY",+44 (0) 20 3034 1197,"A concept store housed in a former bank, with an elegant little bar tucked away inside that screams out for an early evening aperitif. Peruse the shelves, then unwind with something tasty - our favourite pastime.",12PM - 9PM,12PM - 9PM,12PM - 9PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,Closed
181,The Lower Third,"26 Denmark Street, London, WC2H 8NJ",Bury the Hatchet - £8,A fun bar and music venue - that's a part of Soho history - housed in a former blacksmith forge. Where you can stumble upon a gig and grab a really great drink at the same time!,2PM - 12AM,2PM - 12AM,2PM - 12AM,2PM - 12AM,2PM - 1AM,2PM - 1AM,Closed
182,Crossroads,"47 Newington Green, London, N16 9PX",+44 (0) 73 7751 4428,A new home for the stellar Crossroads team. Expect all the same attention to detail and utterly delicious drinks in their new premises.,Closed,6PM - 12:30AM,6PM - 12:30AM,6PM - 12:30AM,6PM - 1:30AM,4PM - 1:30AM,4PM - 10:30PM
183,Paloma Café,"79 Wentworth Street, London, E1 7TD",Paloma - £8,A new bar from the wonderful team behind Soda & Friends - with a focus on agave spirits.,Closed,Closed,4PM - 11PM,4PM - 11PM,4PM - 12PM,4PM - 12PM,4PM - 11PM
184,Equal Parts,"245 Hackney Road, London, E2 8NA",+44 (0) 73 0524 0810,"Equal parts cocktails, coffee, vinyl and art with a state of the art sound system and carefully considered interior design at this new neighbourhood spot from the Sager + Wilde family.",4PM - 11PM,4PM - 11PM,4PM - 11PM,4PM - 11PM,4PM - 12AM,2PM - 12AM,2PM - 11PM
185,Piano Kensington at Royal Garden Hotel,"2-24 Kensington High Street, London, W8 4PT",+44 (0) 20 7937 8000,"A lively underground piano bar found in the Royal Garden Hotel, where old school glamour meets modern hospitality.",Closed,5PM - 12:30AM,5PM - 12:30AM,5PM - 12:30AM,5PM - 1:30AM,5PM - 1:30AM,Closed
186,"cloudM, Tower of London","7th Floor, citizenM Hotel Tower of London, 40 Trinity Square, London, EC3N 4DJ",Fleur de Citron - £8,"A skyline vista from the Tower of London to The Shard, striking interiors, cocktails inspired by the city and plenty of comfy seating can be found at this stylish and expansive rooftop space.",3:30PM - 11:30PM,3:30PM - 11:30PM,3:30PM - 11:30PM,3:30PM - 11:30PM,3:30PM - 11:30PM,3:30PM - 11:30PM,3:30PM - 11:30PM
187,MAROTO,"4 Vere Street, London , W1G 0DH",Basilao - £8,"A sleek late-night lounge bar and club, inspired by the art deco heritage of Brazil, found nestled underneath Bossa restaurant in Mayfair.",Closed,Closed,Closed,9PM - 3AM,9PM - 5AM,9PM - 5AM,Closed
188,MAMA FUNKI,"29-33 Camberwell Church Street, London, SE5 8TR",Funky Worm - £8,"New retro basement bar in the heart of Camberwell from the team behind Peckham favourite, Funkidory.",Closed,6PM - 12AM,6PM - 12AM,6PM - 12AM,6PM - 1AM,6PM - 1AM,Closed
189,Royal Cocktail Exchange,"31 Windmill Street, London, W1T 2JN",Hump Day Fix - £8,A new bar from the team behind The Cocktail Trading Co. and Murder Inc. Expect good things.,5PM - 11PM,5PM - 11PM,5PM - 11PM,5PM - 11PM,5PM - 11PM,2PM - 11PM,2PM - 11PM
190,"The Botanist, Broadgate Circle","35 Broadgate , London, EC2M 2QS",+44 (0) 20 3058 9888,"A spacious bar, restaurant and cocktail lounge, The Botanist is a City favourite. Downstairs, their late night party spot and event space Soda Room hosts live DJs on Friday evenings until the early hours. Start early, finish late, City style!",11AM - 12AM,11AM - 12AM,11AM - 12AM,11AM - 1AM,11AM - 1AM,11AM - 1AM,12PM - 8PM
191,Call Me Mr Lucky,"11 Southwark Street, London, SE1 1RQ",+44 (0) 20 7078 9634,"Super fun, super charged dive bar with a pun-heavy tequila focused drinks list and a bar team that bring the party. A great place to blow off steam.",Closed,5PM - 11PM,5PM - 11PM,5PM - 12AM,5PM - 1AM,3PM - 1AM,Closed
192,"The Botanist, Sloane Square","7 Sloane Square, London, SW1W 8EE",+44 (0) 20 7730 0077,"An infamous all-day spot in the heart of Sloane Square, perfect for people watching with bubbles or a decadent brunch after snapping a pic outside with the glorious floral installation.",8AM - 11:30PM,8AM - 11:30PM,8AM - 11:30PM,8AM - 12:30AM,8AM - 1:30AM,9AM - 1:30AM,9AM - 11:30PM
193,The Mayor of Scaredy Cat Town,"12-16 Artillery Lane, London, E1 7LS",+44 (0) 20 7078 9639,The worst kept secret in London lies behind the iconic Smeg fridge. Let the team know you're 'here to see the Mayor' and you will be lead through to the speakeasy.,5PM - 11PM,5PM - 11PM,5PM - 11PM,5PM - 12AM,5PM - 12AM,12PM - 12AM,12PM - 10PM
194,Viajante87,"87 Notting Hill Gate, London, W11 3JZ",+44 (0) 20 7221 6539,"Stunning intimate and dimly-lit Notting Hill hideaway with seriously creative drinks from Pietro Collina that pay homage to Latin America thrown in with a 300 strong agave spirit collection - needless to say, we're impressed!",Closed,7PM - 12AM,7PM - 12AM,7PM - 12AM,7PM - 2AM,7PM - 2AM,Closed
195,BALTHAZAR,"4-6 Russell Street, London, WC2B 5HZ",+44 (0) 20 3301 1155,"Gorgeous French-inspired brasserie bar with an impressive American whiskey selection, found inside this popular Covent Garden restaurant.",11AM - 11:30PM,11AM - 11:30PM,11AM - 11:30PM,11AM - 11:30PM,11AM - 11:30PM,10AM - 11:30PM,10AM - 10:30PM
196,Club Soda,"39 Drury Lane, London, WC2B 5RR",+44 (0) 20 7836 8693,A bar entirely dedicated to Non Alcoholic mixed drinks! What a revelation! From the outside - it might appear as a bottle shop but there's a perfectly formed cocktail bar - just waiting to be discovered.,12PM - 7:30PM,12PM - 7:30PM,12PM - 7:30PM,12PM - 10PM,12PM - 10PM,12PM - 10PM,12PM - 6PM
197,Jazu,"133a Rye Lane, London, SE15 4BQ",+44 (0) 77 4558 0394,A café and cocktail bar with a tasty little drinks menu and big speakers. Found squirreled away inside Market Peckham.,Closed,8AM - 11PM,8AM - 11PM,8AM - 11PM,8AM - 12AM,9AM - 12AM,9AM - 10PM
198,Atelier Coupette,"9 Moor Street, London, W1D 5ND",+44 (0) 20 7437 2527,A brand new bar in the middle of Soho from the acclaimed team in Bethnal Green. With big ambitions - this is set to be a staple within the West End.,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 1AM,12PM - 1AM,12PM - 10:30PM
199,The Green Room,"The Green Room, 21 Soho, 3-5 Sutton Row, London, W1D 4NR",Spicy Margarita - £8,Intimate Soho cocktail bar in a former green room (dressing room) for the performers and artists that perform at 21 Soho Comedy Club.,6PM - 11PM,6PM - 11PM,6PM - 11PM,6PM - 11PM,6PM - 12AM,6PM - 12AM,6PM - 10:30PM
200,Lanes of London at London Marriott Hotel Park Lane,"140 Park Lane, London, W1K 7AA",+44 (0) 20 7647 5664,"Set against the unrivalled backdrops of Hyde Park and Marble Arch, Lanes of London offers a refined and welcoming ambience, making it a unique all-day dining and socialising destination on Park Lane.",12PM - 10:30PM,12PM - 10:30PM,12PM - 10:30PM,12PM - 10:30PM,12PM - 10:30PM,12PM - 10:30PM,12PM - 10:30PM
201,The Mirror Bar,"The Landmark London, 222 Marylebone Road, London, NW1 6JQ",+44 (0) 20 7631 8000,A well-kept secret - this beautiful little bar within the Landmark Hotel has a really intimate feel inside and a large cigar terrace for when the weather permits.,Closed,5PM - 1AM,5PM - 1AM,5PM - 1AM,5PM - 1AM,5PM - 1AM,3PM - 12:30PM
202,Dirty Martini St Pauls,"130 Wood Street, London, EC2V 6DL",+44 (0) 20 7632 2336,"With glamorous interiors, bespoke cocktails and late night DJs, Dirty Martini is the perfect venue for any celebration or just after work cocktails.",4PM - 1AM,4PM - 1AM,4PM - 3AM,4PM - 3AM,2PM - 3AM,12PM - 3AM,Closed
203,The BoTree Bar,"The BoTree Bar, 30 Marylebone Lane, London, W1U 2DR",+44 (0) 20 7309 9700,"Brand new opening - discover a hotel bar that’s in full bloom, all year round - inspired by vibrant colours, bold botanicals and delicate florals.",6PM - 2AM,6PM - 2AM,6PM - 2AM,6PM - 2AM,6PM - 2AM,6PM - 2AM,6PM - 2AM
204,"Hoxton Grill at The Hoxton, Shoreditch","81 Great Eastern Street, London, EC2A 3HU",+44 (0) 20 7739 9111,"An American-style diner complete with comfort food, cosy red leather booths and delicious Hoxton Classic Cocktails.",7AM - 12AM,7AM - 12AM,7AM - 12AM,7AM - 1AM,7AM - 2AM,7AM - 2AM,7AM - 12AM
